State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Bharuch,Bharuch,Long Melon(Kakri),Other,FAQ,2007-05-11,600.0,800.0,700.0,304
Gujarat,Kheda,Nadiad,Long Melon(Kakri),Other,FAQ,2007-03-16,400.0,450.0,425.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-03,400.0,600.0,500.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-16,400.0,800.0,600.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-18,400.0,750.0,600.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-19,400.0,800.0,700.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-27,600.0,900.0,800.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-01-31,600.0,900.0,800.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-02-17,900.0,1200.0,1000.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-02-23,800.0,1000.0,900.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-03-01,800.0,1000.0,900.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-03-03,900.0,1000.0,990.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-10-21,1300.0,1500.0,1400.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-10-23,1000.0,1400.0,1200.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-10-27,1000.0,1300.0,1200.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-11-03,800.0,1000.0,900.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-11-09,1000.0,1200.0,1100.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-11-12,1000.0,1200.0,1100.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-11-14,1000.0,1400.0,1200.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-11-16,1000.0,1200.0,1100.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-12-01,500.0,1000.0,750.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-12-02,500.0,1000.0,750.0,304
Gujarat,Navsari,Bilimora,Long Melon(Kakri),Other,FAQ,2007-12-27,300.0,450.0,375.0,304
Gujarat,Patan,"Patan(Veg,Yard Patan)",Long Melon(Kakri),Other,FAQ,2007-08-01,200.0,250.0,225.0,304
Gujarat,Patan,"Patan(Veg,Yard Patan)",Long Melon(Kakri),Other,FAQ,2007-09-21,250.0,400.0,325.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-01-07,675.0,1020.0,930.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-01-20,610.0,800.0,650.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-01-22,650.0,1150.0,900.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-01-24,0.0,800.0,800.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-02-05,0.0,650.0,650.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-02-24,625.0,890.0,625.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-02-28,600.0,1155.0,1010.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-05-09,0.0,700.0,700.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-05-23,0.0,825.0,825.0,304
Gujarat,Surat,Bardoli,Long Melon(Kakri),Other,FAQ,2007-10-21,0.0,830.0,830.0,304
Gujarat,Patan,"Patan(Veg,Yard Patan)",Long Melon(Kakri),Other,FAQ,2018-04-10 00:00:00,3000.0,4000.0,3500.0,304
Gujarat,Patan,"Patan(Veg,Yard Patan)",Long Melon(Kakri),Other,FAQ,2018-04-15 00:00:00,1500.0,1750.0,1625.0,304
Gujarat,Patan,"Patan(Veg,Yard Patan)",Long Melon(Kakri),Other,FAQ,2018-04-23 00:00:00,1000.0,1350.0,1175.0,304
