State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-01-11,4000,5500,5000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-01-28,8000,10000,9000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-02-06,1500,2500,2200.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-02-25,3000,5000,4000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-02-29,1500,2000,1800.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-03-06,1800,2000,1900.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-03-10,3500,4500,4000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-03-16,1800,2000,1900.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-03-23,5000,6500,6000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-03-27,1800,3000,2500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-04-06,2500,5500,4500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-04-18,1500,2500,2200.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-04-30,3500,5500,5000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-05-04,2500,4500,3500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-05-08,1500,2500,2200.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-05-19,6000,9000,8000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-06-04,9000,12000,11000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-06-05,5000,7000,6500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-06-13,4000,6000,5500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-06-14,7000,9000,8500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-06-27,5000,7500,6500.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-07-05,18000,20000,19000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-07-06,5000,8000,7000.0,228
Gujarat,Banaskanth,Ahmedabad(Flower Market Jamalpur),Rose(Loose)),Other,FAQ,2012-07-09,500,6500,6000.0,228
