State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-04-27,2600,3000,3000.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-05-08,2000,2800,2500.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-05-16,1500,2000,1750.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-05-17,1300,2000,1650.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-05-19,600,700,650.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-05-30,1500,2500,2000.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-05,1400,1500,1400.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-09,1000,1500,1200.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-11,1500,2000,1700.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-12,1500,1600,1500.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-14,1500,2000,1750.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-16,1500,2000,1750.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-06-23,800,1500,1150.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-07-12,500,1100,1000.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-07-23,500,800,600.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-07-27,500,1000,800.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-08-01,600,1000,800.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-08-02,500,1000,900.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-08-08,600,900,800.0,180
Gujarat,Dahod,Dahod,Lime,Other,Medium,2007-08-23,800,1200,1100.0,180
Gujarat,Dahod,Dahod(Veg. Market),Lime,Other,Medium,2007-08-24,500,1200,1000.0,180
Gujarat,Dahod,Dahod(Veg. Market),Lime,Other,Medium,2007-08-31,1300,1700,1500.0,180
