State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-01,2000.0,3000.0,2500.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-09,1500.0,2800.0,2150.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-12-05,3000.0,4000.0,3500.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-12-15,4000.0,4000.0,4000.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-14,2500.0,3000.0,2750.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-16,2000.0,3000.0,2500.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-12-19,4000.0,4000.0,4000.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-23,3000.0,3500.0,3150.0,296
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-17,2400.0,2400.0,2400.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-19,2800.0,3200.0,3000.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-20,2500.0,3300.0,2900.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-20,2600.0,3000.0,2900.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-12-22,4000.0,4000.0,4000.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-24,2500.0,3300.0,2900.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-24,2800.0,3300.0,2900.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-27,2500.0,3000.0,2750.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-12-29,3000.0,3500.0,3350.0,296
Gujarat,Surendranagar,Vadhvan APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Medium,2025-11-22 00:00:00,4500.0,5000.0,4750.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-10 00:00:00,3000.0,4000.0,3004.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-11-13 00:00:00,4000.0,4500.0,4100.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-01 00:00:00,4000.0,4000.0,4000.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-01 00:00:00,3500.0,4500.0,4000.0,296
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura) APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-01 00:00:00,3500.0,4000.0,3800.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-05 00:00:00,4500.0,4500.0,4500.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-06 00:00:00,3500.0,4300.0,3900.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-13 00:00:00,3000.0,3500.0,3300.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-15 00:00:00,3000.0,3500.0,3250.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2025-11-17 00:00:00,3000.0,4000.0,3500.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-17 00:00:00,2800.0,3200.0,3100.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-19 00:00:00,2500.0,3200.0,2800.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-24 00:00:00,1500.0,3000.0,2500.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-27 00:00:00,2500.0,3200.0,2850.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2025-11-29 00:00:00,2000.0,2800.0,2500.0,296
Gujarat,Surendranagar,Vadhvan APMC,Elephant Yam(Suran)/Amorphophallus,Elephant Yam (Suran),Medium,2026-02-02 00:00:00,3500.0,4000.0,3750.0,296
Gujarat,Ahmedabad,Ahmedabad APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2026-01-02 00:00:00,3000.0,3300.0,3100.0,296
Gujarat,Dahod,Dahod(Veg. Market) APMC,Elephant Yam(Suran)/Amorphophallus,Other,Local,2026-01-05 00:00:00,4000.0,4000.0,4000.0,296
Gujarat,Surat,Surat APMC,Elephant Yam(Suran)/Amorphophallus,Other,FAQ,2026-01-07 00:00:00,3000.0,3300.0,3150.0,296
