State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-01-08,300,600,500.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-01-18,200,300,250.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-01-26,300,450,400.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-02-06,250,350,300.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-02-09,400,600,500.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-03-03,500,800,650.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-03-07,600,800,700.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-03-12,600,900,750.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-03-18,400,700,500.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-03-20,800,1000,900.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-01,500,1000,800.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-05,400,600,500.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-06,400,500,450.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-12,700,1000,800.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-16,700,1000,800.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-17,800,1000,900.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-23,1000,1200,1100.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-04-29,600,800,700.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-05-02,1000,1500,1200.0,69
Gujarat,Navsari,Bilimora,Dhaincha,Other,FAQ,2007-05-04,1000,1500,1200.0,69
