State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Other,Local,2025-11-28,3041.667275,3400.00068,3191.667305,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Other,Non-FAQ,2025-12-04,2055.0,2055.0,2055.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Non-FAQ,2025-11-17,1835.0,2005.0,1915.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Non-FAQ,2025-11-18,1780.0,1995.0,1815.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Non-FAQ,2025-11-20,1825.0,2030.0,1945.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Local,2025-11-26,1875.0,2020.0,1960.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Non-FAQ,2025-11-27,1870.0,2005.0,1930.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Other,FAQ,2025-11-13,1705.0,1855.0,1780.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Paddy,Non-FAQ,2025-12-05,1705.0,1975.0,1845.0,2
Gujarat,Panchmahals,Godhra(Kakanpur) APMC,Paddy(Common),Other,Non-FAQ,2025-11-24,1725.0,1990.0,1805.0,2
Gujarat,Vadodara(Baroda),Vagodiya APMC,Paddy(Common),G. R. 11,Local,2025-11-13 00:00:00,2375.0,2375.0,2375.0,2
Gujarat,Kheda,Matar APMC,Paddy(Common),Masuri,Local,2025-11-24 00:00:00,2150.0,2220.0,2180.0,2
Gujarat,Kheda,Matar APMC,Paddy(Common),Masuri,Local,2025-11-26 00:00:00,2130.0,2190.0,2160.0,2
Gujarat,Kheda,Matar APMC,Paddy(Common),Masuri,Local,2025-11-27 00:00:00,2180.0,2250.0,2210.0,2
Gujarat,Gandhinagar,Dehgam(Rekhiyal) APMC,Paddy(Common),Other,FAQ,2025-11-08 00:00:00,1850.0,2500.0,2175.0,2
Gujarat,Dahod,Jhalod APMC,Paddy(Common),Other,Local,2025-11-11 00:00:00,1500.0,1500.0,1500.0,2
Gujarat,Ahmedabad,Dholka APMC,Paddy(Common),Other,FAQ,2025-11-03 00:00:00,1675.0,2300.0,2300.0,2
Gujarat,Dahod,Zalod(Sanjeli) APMC,Paddy(Common),Other,FAQ,2025-11-03 00:00:00,1950.0,2300.0,2300.0,2
Gujarat,Surat,Kosamba APMC,Paddy(Common),Other,FAQ,2025-11-03 00:00:00,2250.0,2300.0,2275.0,2
Gujarat,Anand,Umreth APMC,Paddy(Common),Other,Non-FAQ,2025-11-04 00:00:00,1650.0,1850.0,1850.0,2
Gujarat,Gandhinagar,Dehgam APMC,Paddy(Common),Other,FAQ,2025-11-05 00:00:00,2105.0,2620.0,2362.0,2
Gujarat,Surat,Kosamba APMC,Paddy(Common),Other,FAQ,2025-11-05 00:00:00,2200.0,2300.0,2250.0,2
Gujarat,Surat,Kosamba APMC,Paddy(Common),Other,FAQ,2025-11-06 00:00:00,2200.0,2300.0,2250.0,2
Gujarat,Ahmedabad,Sanad APMC,Paddy(Common),Other,FAQ,2025-11-10 00:00:00,2425.0,2425.0,2425.0,2
Gujarat,Ahmedabad,Sanad APMC,Paddy(Common),Other,FAQ,2025-11-13 00:00:00,2370.0,2370.0,2370.0,2
Gujarat,Surat,Bardoli(Madhi) APMC,Paddy(Common),Other,FAQ,2025-11-06 00:00:00,1900.0,2200.0,2100.0,2
Gujarat,Anand,Borsad APMC,Paddy(Common),Other,Local,2025-11-13 00:00:00,1650.0,1650.0,1650.0,2
Gujarat,Surat,Bardoli APMC,Paddy(Common),Other,Local,2025-11-14 00:00:00,1950.0,2300.0,2200.0,2
Gujarat,Ahmedabad,Dholka APMC,Paddy(Common),Other,Grade Range-2,2025-11-14 00:00:00,1750.0,2550.0,2369.0,2
Gujarat,Surat,Uchhal APMC,Paddy(Common),Other,Non-FAQ,2025-11-15 00:00:00,1700.0,2155.0,1841.0,2
Gujarat,The Dangs,Ahwa-Dang APMC,Paddy(Common),Other,Non-FAQ,2025-11-15 00:00:00,1800.0,1850.0,1825.0,2
Gujarat,Sabarkantha,Prantij APMC,Paddy(Common),Other,Local,2025-11-15 00:00:00,1500.0,2575.0,2000.0,2
Gujarat,Anand,Tarapur APMC,Paddy(Common),Other,Local,2025-11-15 00:00:00,2450.0,3225.0,2700.0,2
Gujarat,Dahod,Dahod APMC,Paddy(Common),Other,Local,2025-11-18 00:00:00,1800.0,1900.0,1850.0,2
Gujarat,Anand,Borsad APMC,Paddy(Common),Other,Local,2025-11-18 00:00:00,1650.0,1650.0,1650.0,2
Gujarat,Kheda,Matar APMC,Paddy(Common),Other,Local,2025-11-18 00:00:00,2480.0,2540.0,2515.0,2
Gujarat,Panchmahals,Gogamba(Similiya) APMC,Paddy(Common),Other,Local,2025-11-18 00:00:00,1850.0,1850.0,1850.0,2
