State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-18,4775.0,5150.0,4962.0,260
Gujarat,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2020-03-21,4650.0,4850.0,4750.0,260
Gujarat,Amreli,Rajula,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2016-12-31 00:00:00,4150.0,4600.0,4375.0,260
Gujarat,Panchmahals,Gogamba,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2016-08-03 00:00:00,14000.0,15000.0,14500.0,260
Gujarat,Panchmahals,Gogamba(Similiya),Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2016-08-03 00:00:00,2900.0,3100.0,3000.0,260
Gujarat,Rajkot,Rajkot,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2016-08-05 00:00:00,6650.0,7855.0,7250.0,260
Gujarat,Ahmedabad,Sanad,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2022-03-28 00:00:00,5505.0,5505.0,5505.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2022-06-06 00:00:00,4755.0,5355.0,5055.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2022-06-08 00:00:00,4490.0,5500.0,4995.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2022-06-10 00:00:00,4705.0,5505.0,5105.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2022-06-29 00:00:00,4250.0,5650.0,4950.0,260
Gujarat,Jamnagar,Jam Jodhpur,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2024-04-30 00:00:00,9000.0,11705.0,10350.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2024-02-23 00:00:00,9325.0,9675.0,9500.0,260
Gujarat,Morbi,Morbi,Arhar Dal(Tur Dal),Arhar Dal(Tur),FAQ,2024-02-29 00:00:00,8250.0,9570.0,8910.0,260
