State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-05-29,1100,1430,1150.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-06-08,3150,4200,3550.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-06-19,2750,4200,3175.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-04-13 00:00:00,2500,2580,2550.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-04-26 00:00:00,1075,1115,1100.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-04-30 00:00:00,3250,3305,3290.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-04 00:00:00,1125,1180,1150.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-07 00:00:00,1000,1090,1050.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-13 00:00:00,600,660,640.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-18 00:00:00,625,690,650.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-21 00:00:00,3375,3425,3400.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-22 00:00:00,3225,3280,3250.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-24 00:00:00,2775,2850,2800.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-05-30 00:00:00,500,600,575.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-06-17 00:00:00,1100,1180,1150.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-06-18 00:00:00,1400,1450,1425.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2012-06-21 00:00:00,950,1090,1000.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2013-03-08 00:00:00,2900,3025,2925.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2014-08-03 00:00:00,1500,1750,1625.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2016-06-22 00:00:00,4050,5100,4600.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2017-04-27 00:00:00,4070,4250,4150.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2017-05-25 00:00:00,3850,4260,4050.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-04-09 00:00:00,3250,3650,3450.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-06-08 00:00:00,4750,7750,7500.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-06-11 00:00:00,4250,7910,5790.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-06-18 00:00:00,4530,7825,7750.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-06-19 00:00:00,4505,7820,7750.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-06-20 00:00:00,4250,7860,7750.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2019-07-18 00:00:00,7250,7650,7500.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2010-07-08 00:00:00,1500,1750,1625.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2010-07-19 00:00:00,2000,2500,2250.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2010-07-29 00:00:00,2000,2500,2250.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2010-08-02 00:00:00,2000,2500,2250.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2010-11-03 00:00:00,2000,2500,2250.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-03-13 00:00:00,3150,3190,3190.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-03-17 00:00:00,3450,3475,3475.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-05-10 00:00:00,2460,2465,2465.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-05-11 00:00:00,1450,1460,1460.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-05-15 00:00:00,1530,1540,1540.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-05-17 00:00:00,990,1000,1000.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-06-05 00:00:00,2800,2825,2825.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-06-10 00:00:00,2800,2830,2830.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-06-21 00:00:00,2660,2665,2665.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-06-22 00:00:00,2670,2695,2695.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2010-06-23 00:00:00,2380,2390,2390.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2009-07-08 00:00:00,1250,1500,1350.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2009-07-29 00:00:00,1500,1700,1600.0,339
Gujarat,Bharuch,Bharuch,Lotus Sticks,Other,FAQ,2008-08-05 00:00:00,500,750,625.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-05-16 00:00:00,1000,1540,1250.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-05-30 00:00:00,1250,1500,1350.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-06-01 00:00:00,2950,3150,3050.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-06-20 00:00:00,2780,4205,3155.0,339
Gujarat,Surat,Valod(Buhari),Lotus Sticks,Other,FAQ,2018-06-21 00:00:00,2750,4200,3150.0,339
