State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-01-12,200.0,250.0,225.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-01-17,200.0,300.0,250.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-01-25,350.0,400.0,375.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-01-27,200.0,250.0,225.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-01-31,200.0,250.0,225.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-02-06,200.0,250.0,225.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-02-13,200.0,250.0,225.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-02-23,300.0,350.0,325.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-03-12,300.0,350.0,325.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-03-21,200.0,300.0,250.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-03-28,350.0,400.0,375.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-04,350.0,400.0,375.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-05,350.0,400.0,375.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-08,400.0,500.0,450.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-16,200.0,400.0,300.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-17,300.0,350.0,325.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-18,400.0,500.0,450.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-19,400.0,600.0,500.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-21,300.0,500.0,400.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-22,400.0,500.0,450.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-23,400.0,500.0,450.0,171
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Other,FAQ,2007-05-26,400.0,500.0,450.0,171
