State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Chamrajnagar,Kollegal,Hybrid Cumbu,Other,Medium,2013-06-10,1400,1450,1400,119
Karnataka,Chamrajnagar,Kollegal,Hybrid Cumbu,Other,Medium,2013-10-03,1200,1400,1300,119
Pondicherry,Pondicherry,Madagadipet,Hybrid Cumbu,Other,FAQ,2013-07-11,1436,1436,1436,119
Pondicherry,Pondicherry,Madagadipet,Hybrid Cumbu,Other,FAQ,2013-10-01,1306,1306,1306,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-05-07,1389,1474,1474,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-05-13,1390,1390,1390,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-05-14,1359,1370,1360,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-05-28,1397,1414,1400,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-06-07,1459,1488,1488,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-06-12,1439,1482,1482,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-07-11,1483,1503,1503,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-07-17,1476,1513,1513,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-07-18,1469,1509,1509,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-07-31,1500,1500,1500,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-08-21,1389,1389,1389,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-09-19,1103,1260,1220,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-09-23,912,1297,1110,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-09-24,982,1303,1100,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-10-09,1267,1267,1267,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-10-31,1247,1247,1247,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-11-21,1419,1419,1419,119
Pondicherry,Pondicherry,Thattanchavady,Hybrid Cumbu,Other,FAQ,2013-11-26,1420,1420,1420,119
Tamil Nadu,Cuddalore,Cuddalore,Hybrid Cumbu,Other,FAQ,2013-09-19,1309,1315,1312,119
Tamil Nadu,Cuddalore,Cuddalore,Hybrid Cumbu,Other,FAQ,2013-10-09,1252,1252,1252,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-08-12,1409,1659,1534,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-08-14,1403,1403,1403,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-08-19,1111,1461,1286,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-08-22,1420,1440,1430,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-09-03,1396,1396,1396,119
Tamil Nadu,Cuddalore,Panruti,Hybrid Cumbu,Other,FAQ,2013-09-20,1152,1392,1272,119
