State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Cachar,Cachar,Calf,Other,FAQ,2007-01-05,1500,2600,2000,215
Assam,Cachar,Cachar,Calf,Other,FAQ,2007-10-09,800,2500,1200,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2007-09-27,3000,4000,3500,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2007-10-18,2000,3000,2500,215
Odisha,Cuttack,Banki,Calf,Other,FAQ,2007-06-01,1000,2000,1500,215
Odisha,Cuttack,Banki,Calf,Other,FAQ,2007-06-08,1000,2500,2000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-06-14,800,1000,900,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-11-06,1000,1000,1000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-11-14,2000,2000,2000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-11-26,1500,2500,2000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-11-28,1500,2500,2000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-11-29,1500,2500,2000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-12-02,2000,4000,3000,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-12-15,2000,3000,2500,215
Telangana,Ranga Reddy,Narsingi,Calf,Other,FAQ,2007-12-16,2000,3000,2500,215
Karnataka,Davangere,Davangere,Calf,Other,FAQ,2021-02-26,5000,7000,6000,215
Karnataka,Kolar,Chintamani,Calf,Other,FAQ,2021-09-26,15000,25000,20000,215
Odisha,Mayurbhanja,Chuliaposi,Calf,Other,FAQ,2021-01-19,5000,10000,7500,215
Odisha,Mayurbhanja,Chuliaposi,Calf,Other,FAQ,2021-04-27,6000,10400,8000,215
Odisha,Mayurbhanja,Chuliaposi,Calf,Other,FAQ,2021-08-31,4800,9600,7000,215
Odisha,Mayurbhanja,Chuliaposi,Calf,Other,FAQ,2021-10-05,6200,9500,7500,215
Odisha,Mayurbhanja,Chuliaposi,Calf,Other,FAQ,2021-10-12,5700,9300,7000,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2012-02-09,0,7000,6000.0,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2012-04-19,7000,9000,8000.0,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2012-05-10,7500,8500,8000.0,215
Jharkhand,Garhwa,Gadhwah,Calf,Other,FAQ,2012-07-12,7000,8000,7500.0,215
