State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-08-30,800,1000,900,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-09-01,500,700,600,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-09-11,500,800,650,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-09-16,700,900,800,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-09-19,700,800,750,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-09-21,400,600,500,66
Gujarat,Surendranagar,Vadhvan,Toria,Toria,FAQ,2007-10-02,600,700,650,66
Gujarat,Vadodara(Baroda),Vadodara,Toria,Other,FAQ,2007-02-24,500,1000,600,66
Gujarat,Vadodara(Baroda),Vadodara,Toria,Other,FAQ,2007-03-31,750,1000,750,66
Gujarat,Vadodara(Baroda),Vadodara,Toria,Other,FAQ,2007-04-27,500,750,600,66
Gujarat,Vadodara(Baroda),Vadodara,Toria,Other,FAQ,2007-05-07,400,750,500,66
Gujarat,Vadodara(Baroda),Vadodara,Toria,Other,FAQ,2007-05-28,300,350,325,66
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Toria,Other,FAQ,2007-09-19,200,400,300,66
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Toria,Other,FAQ,2007-09-21,200,400,300,66
Gujarat,Vadodara(Baroda),Vadodara(Sayajipura),Toria,Other,FAQ,2007-09-23,200,400,300,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-08-04,400,500,450,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-08-22,350,450,400,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-08-26,350,450,400,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-08-27,350,450,400,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-08-28,400,500,450,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-09-11,350,450,400,66
Haryana,Bhiwani,Siwani,Toria,Other,FAQ,2007-09-29,400,500,450,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-06-27,1100,1200,1200,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-08,600,650,640,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-17,580,650,600,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-22,500,600,550,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-23,600,650,620,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-26,600,750,700,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-08-31,600,750,700,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-09-04,650,850,750,66
Haryana,Karnal,Asandh,Toria,Other,FAQ,2007-09-09,700,750,740,66
Haryana,Sirsa,kalanwali,Toria,Other,FAQ,2007-08-30,400,400,400,66
Himachal Pradesh,Mandi,Dhanotu (Mandi),Toria,Other,FAQ,2007-08-24,800,800,800,66
Himachal Pradesh,Mandi,Dhanotu (Mandi),Toria,Other,FAQ,2007-10-12,800,800,800,66
Himachal Pradesh,Mandi,Dhanotu (Mandi),Toria,Other,FAQ,2007-10-29,600,600,600,66
Himachal Pradesh,Mandi,Dhanotu (Mandi),Toria,Other,FAQ,2007-11-17,600,600,600,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Other,FAQ,2007-06-05,900,1200,1000,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Other,FAQ,2007-07-27,1000,1000,1000,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Other,FAQ,2007-08-03,800,1000,800,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Other,FAQ,2007-09-26,300,400,400,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Other,FAQ,2007-09-28,300,500,400,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Toria,FAQ,2007-08-20,1000,1200,1000,66
Himachal Pradesh,Mandi,Mandi(Mandi),Toria,Toria,FAQ,2007-10-17,700,1000,800,66
Karnataka,Davangere,Honnali,Toria,Other,FAQ,2007-10-01,210,370,350,66
Karnataka,Davangere,Honnali,Toria,Other,FAQ,2007-10-19,0,250,250,66
Madhya Pradesh,Alirajpur,Jobat,Toria,Other,FAQ,2007-02-19,882,882,882,66
Madhya Pradesh,Badwani,Sendhwa,Toria,Other,FAQ,2007-02-19,882,882,882,66
Madhya Pradesh,Chhatarpur,Chhatarpur,Toria,Other,FAQ,2007-10-01,925,925,925,66
Madhya Pradesh,Chhatarpur,LavKush Nagar(Laundi),Toria,Other,FAQ,2007-10-01,925,925,925,66
Madhya Pradesh,Chhatarpur,Rajnagar,Toria,Other,FAQ,2007-10-01,925,925,925,66
Madhya Pradesh,Dewas,Kannod,Toria,Other,FAQ,2007-04-13,925,943,943,66
Madhya Pradesh,Khargone,Badwaha,Toria,Other,FAQ,2007-02-19,882,882,882,66
Madhya Pradesh,Khargone,Kasrawad,Toria,Other,FAQ,2007-02-19,882,882,882,66
Madhya Pradesh,Mandsaur,Mandsaur,Toria,Other,FAQ,2007-04-13,925,943,943,66
Madhya Pradesh,Panna,Devandranagar,Toria,Other,FAQ,2007-10-01,925,925,925,66
Madhya Pradesh,Sagar,Garhakota,Toria,Other,FAQ,2007-10-01,925,925,925,66
Madhya Pradesh,Shajapur,Shujalpur,Toria,Other,FAQ,2007-04-13,925,943,943,66
Madhya Pradesh,Ujjain,Badnagar,Toria,Other,FAQ,2007-04-13,925,943,943,66
Madhya Pradesh,Ujjain,Ujjain,Toria,Other,FAQ,2007-04-13,925,943,943,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-06-20,750,1600,1250,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-06-22,1000,2000,1500,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-07-02,250,900,650,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-07-07,500,1200,900,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-11-05,700,900,800,66
NCT of Delhi,Delhi,Azadpur,Toria,Other,FAQ,2007-11-08,400,600,500,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-04-26,1500,2500,2000,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-05-03,800,1200,1000,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-05-17,350,1000,650,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-05-25,250,800,525,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-05-28,250,800,525,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-06-04,250,700,425,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-06-07,200,700,450,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-06-08,200,700,450,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-06-14,300,900,600,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-07-24,300,900,600,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-08-03,400,1000,700,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-08-18,300,900,600,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-08-23,250,800,525,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-08-29,200,700,413,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-08-31,200,700,413,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-09-07,300,900,600,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-09-08,300,900,600,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-09-13,600,1100,1000,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-09-18,350,900,750,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-09-29,500,1000,863,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-10-06,600,1400,1213,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-10-31,350,900,563,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-11-08,500,1100,750,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-11-22,750,1600,1125,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-11-29,750,1800,1300,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-11-30,750,1800,1300,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-12-04,750,1800,1250,66
NCT of Delhi,Delhi,Azadpur,Toria,Toria,FAQ,2007-12-06,900,2000,1400,66
NCT of Delhi,Delhi,Keshopur,Toria,Other,FAQ,2007-04-01,1600,2000,1800,66
NCT of Delhi,Delhi,Keshopur,Toria,Other,FAQ,2007-04-13,2200,3000,2600,66
NCT of Delhi,Delhi,Keshopur,Toria,Other,FAQ,2007-04-14,2000,3000,2500,66
NCT of Delhi,Delhi,Keshopur,Toria,Other,FAQ,2007-04-16,2400,2800,2600,66
