State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-01-19,15000,15200,15100,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-04-03,16300,16500,16400,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-05-18,1850,1870,1860,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-05-22,1800,1830,1820,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-06-01,1920,1940,1930,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-07-20,1650,1670,1660,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-07-31,16200,16400,16300,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-08-03,19300,19500,19400,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-08-14,19200,19400,19300,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-09-18,1200,1400,1300,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-11-23,19200,19400,19300,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2018-12-04,1200,1400,1300,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-01-04,14000,14000,14000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-01-10,14000,14000,14000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-01-18,14000,14000,14000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-02-02,14400,14400,14400,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-02-10,14500,14500,14500,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-02-13,14500,14500,14500,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-02-14,14500,14500,14500,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-03-16,15000,15000,15000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-03-17,15000,15000,15000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-03-23,15000,15000,15000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-03-28,15000,15000,15000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-05-14,18000,18000,18000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-05-21,17000,17000,17000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-05-25,18000,18000,18000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-07-07,17000,17000,17000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-08-21,16500,16500,16500,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-10-31,18000,18000,18000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-11-08,19000,19000,19000,104
Kerala,Idukki,Kattappana,Cocoa,Other,FAQ,2018-11-19,19000,19000,19000,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-02-18,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-02-25,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-03-25,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-04-08,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-06-03,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-06-24,4000,4000,4000,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-08-05,3800,3800,3800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-09-23,2800,2800,2800,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-11-22,3200,3200,3200,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-12-02,4200,4200,4200,104
Kerala,Idukki,Nedumkandam,Cocoa,Other,FAQ,2018-12-15,4500,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-02-14,3800,4000,4000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-02-17,3800,4000,4000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-04-18,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-04-25,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-05-09,4800,5000,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-05-16,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-05-23,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-06-20,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-07-25,4800,5400,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-10-20,4800,5000,5000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2018-11-28,4800,5000,5000,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2022-10-25,20500,20500,20500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-01-15,3800,4000,4000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-03-05,3800,4000,4000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-03-26,3800,4000,4000,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-05-04,4000,4200,4200,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-05-14,4200,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-05-21,4200,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-06-11,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-06-18,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-06-27,4000,4200,4200,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-06-29,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-07-23,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-08-27,4300,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-09-10,4300,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-09-24,4000,4100,4100,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-09-28,4000,4100,4100,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-10-01,4000,4100,4100,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-10-05,4000,4200,4200,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-11-26,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-12-17,4400,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-12-21,4400,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-12-28,4200,4400,4400,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2022-12-31,4400,4500,4500,104
Kerala,Idukki,Thodupuzha,Cocoa,Other,FAQ,2013-12-30,4000,5000,4500,104
Kerala,Idukki,Adimali,Cocoa,Other,FAQ,2016-01-19,18200,19000,18500,104
