State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Balrampur,Kusmee,Niger Seed (Ramtil),Other,FAQ,2020-03-19,4500,4500,4500,98
Chattisgarh,Bastar,Jagdalpur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-01-13,4600,4620,4610,98
Chattisgarh,Bastar,Jagdalpur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-01-16,4600,4610,4605,98
Chattisgarh,Bastar,Jagdalpur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-02-05,4450,4500,4475,98
Chattisgarh,Bastar,Jagdalpur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-02-07,4550,4550,4550,98
Chattisgarh,Bastar,Jagdalpur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-08-31,5600,5600,5600,98
Chattisgarh,Jashpur,Jaspur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-07-10,6000,6000,6000,98
Chattisgarh,Jashpur,Kunkuri,Niger Seed (Ramtil),Niger Seed,FAQ,2020-08-29,4500,4500,4500,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-03-02,4750,4750,4750,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-03-14,4500,4500,4500,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-04-30,4800,4800,4800,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-05-20,4800,4800,4800,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-07-20,5200,5200,5200,98
Chattisgarh,Jashpur,Pathalgaon,Niger Seed (Ramtil),Other,FAQ,2020-07-25,5200,5200,5200,98
Chattisgarh,Narayanpur,Narayanpur,Niger Seed (Ramtil),Other,FAQ,2020-01-28,3500,4000,3800,98
Chattisgarh,Narayanpur,Narayanpur,Niger Seed (Ramtil),Other,FAQ,2020-01-31,3800,4200,4000,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-05-26,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-05-30,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-06-08,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-06-10,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-06-13,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-06-15,5000,5877,5877,98
Chattisgarh,Surajpur,Pratappur,Niger Seed (Ramtil),Niger Seed,FAQ,2020-06-16,5000,5877,5877,98
