State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Assam,Kamrup,Goreswar,Coconut Seed,Other,FAQ,2007-12-04,1100,1150,1125,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-01-05,360000,600000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-01-15,360000,600000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-01-20,360000,600000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-01,420000,600000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-19,420000,660000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-20,420000,660000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-23,420000,660000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-24,420000,660000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-02-26,420000,660000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-03-10,420000,480000,420000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-03-13,468000,480000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-03-21,480000,540000,540000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-03-23,420000,480000,480000,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-04-03,360,480,420,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-04-10,360,480,420,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-05-23,300,360,324,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-06-05,300,660,480,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-06-11,240,540,420,112
Goa,South Goa,Margao,Coconut Seed,Other,FAQ,2007-06-12,216,516,360,112
