State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Visakhapatnam,Chintapally,Jack Fruit,Other,FAQ,2007-07-17,2000,2100,2050,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-06-16,450,650,550,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-06-22,450,650,550,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-06-25,400,600,500,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Small,2007-06-29,250,500,300,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-07-09,350,500,450,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-07-10,350,500,450,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-07-12,350,550,450,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-07-21,350,500,400,182
Assam,Cachar,Cachar,Jack Fruit,Jack Fruit,Medium,2007-07-27,350,550,450,182
Assam,Darrang,Kharupetia,Jack Fruit,Other,Medium,2007-07-04,5000,7000,6000,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-03-02,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-03-06,800,800,800,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-03-16,800,800,800,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-03-24,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-03-29,700,800,800,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-04-06,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-04-14,500,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-04-18,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-04-25,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-05-02,600,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-05-04,500,700,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-05-16,500,500,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-05-18,500,500,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-06-16,500,600,600,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-06-18,400,500,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-06-20,500,500,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-07-04,400,700,400,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-07-14,400,400,400,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-07-16,400,500,500,182
Haryana,Yamuna Nagar,Jagadhri,Jack Fruit,Other,Medium,2007-07-27,400,400,400,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-01-13,1100,1200,1150,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-01-19,1200,1400,1300,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-01-23,1050,1200,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-01-28,700,1200,1000,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-01,800,1200,1000,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-02,1100,1100,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-03,1100,1200,1150,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-14,1000,1200,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-18,1200,1300,1200,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-19,900,900,900,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-23,1000,1300,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-02-25,900,1300,1000,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-01,900,1250,1050,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-02,1100,1200,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-14,800,1000,900,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-16,1000,1350,1250,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-20,1200,1300,1200,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-21,1000,1300,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-03-27,1200,1300,1250,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-03,1200,1300,1200,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-04,1000,1350,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-08,1200,1200,1200,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-15,1200,1300,1250,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-17,1200,1300,1200,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-18,900,1200,1050,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-26,1100,1250,1150,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-04-29,1000,1300,1100,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-05-14,700,800,750,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-05-18,500,800,650,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-06-05,300,800,550,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-06-06,300,600,450,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-06-20,500,700,600,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-06-28,400,600,550,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-03,700,800,750,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-05,600,700,650,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-08,600,800,700,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-10,300,700,600,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-17,400,800,650,182
Haryana,Yamuna Nagar,Yamuna Nagar,Jack Fruit,Other,Medium,2007-07-22,300,700,500,182
Himachal Pradesh,Sirmore,Paonta Sahib,Jack Fruit,Other,Medium,2007-05-03,1700,1800,1700,182
Himachal Pradesh,Sirmore,Paonta Sahib,Jack Fruit,Other,Medium,2007-05-04,1000,1000,1000,182
Himachal Pradesh,Sirmore,Paonta Sahib,Jack Fruit,Other,Medium,2007-06-20,500,600,500,182
Himachal Pradesh,Sirmore,Paonta Sahib,Jack Fruit,Other,Medium,2007-06-25,400,600,500,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Small,2007-06-27,600,700,650,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-06,600,700,600,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-10,600,700,600,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-11,600,700,600,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-12,500,600,500,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-20,500,600,500,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-23,400,500,400,182
Jharkhand,Lohardaga,Lohardaga,Jack Fruit,Other,Large,2007-07-31,700,800,700,182
Karnataka,Chikmagalur,Chikkamagalore,Jack Fruit,Jack Fruit,FAQ,2007-05-04,290,330,310,182
Kerala,Palakad,Koduvayoor,Jack Fruit,Other,Medium,2007-08-16,600,800,700,182
Maharashtra,Chandrapur,Chandrapur,Jack Fruit,Other,FAQ,2007-03-01,200,800,600,182
