State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Anantapur,Hindupur,Sunflower Seed,Sunflower Seed,FAQ,2009-07-21,2200,2300,2250.0,285
Andhra Pradesh,Anantapur,Kadiri,Sunflower Seed,Sunflower Seed,FAQ,2009-05-09,2100,2200,2150.0,285
Andhra Pradesh,Anantapur,Kadiri,Sunflower Seed,Sunflower Seed,FAQ,2009-05-12,2100,2200,2150.0,285
Andhra Pradesh,Anantapur,Kadiri,Sunflower Seed,Sunflower Seed,FAQ,2009-05-22,2100,2200,2150.0,285
Andhra Pradesh,Anantapur,Kadiri,Sunflower Seed,Sunflower Seed,FAQ,2009-06-07,2100,2200,2150.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-01-09,3000,3100,3050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-01-10,3000,3100,3050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-03-28,2100,2200,2150.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-04-01,2100,2200,2150.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-04-18,2100,2200,2150.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-04-29,2100,2200,2150.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-05-06,2000,2200,2100.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-05-12,2000,2200,2100.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-05-14,2000,2200,2100.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-05-22,2000,2200,2100.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-05-24,2000,2200,2100.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-09,2000,2100,2050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-15,2000,2100,2050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-16,2000,2100,2050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-19,2000,2100,2050.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-21,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-06-22,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-01,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-02,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-03,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-04,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-14,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-22,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-26,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-07-29,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-04,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-09,2200,2400,2300.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-13,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-17,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-27,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-30,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-08-31,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-09-01,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-09-09,2300,2400,2350.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-09-11,2200,2400,2300.0,285
Andhra Pradesh,Cuddapah,Badvel,Sunflower Seed,Sunflower Seed,FAQ,2009-09-26,2300,2500,2400.0,285
