State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,2019-12-09,3132,3572,3365,48
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,2019-12-16,3226,3582,3386,48
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,2019-12-20,3232,3590,3386,48
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,2019-12-26,3242,3592,3385,48
Maharashtra,Mumbai,Mumbai,Sugar,Other,FAQ,2019-12-27,3246,3592,3385,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-02-14,3150,3150,3150,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-03-29,3100,3100,3100,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-04-30,3125,3125,3125,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-06-28,3200,3200,3200,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-07-26,3150,3150,3150,48
NCT of Delhi,Delhi,Najafgarh,Sugar,Chini,FAQ,2019-10-15,3400,3400,3400,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-02-24,3435,3435,3435,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-05-30,3617,3617,3617,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-07-13,3400,3400,3400,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-07-30,3420,3420,3420,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-08-05,3478,3491,3478,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-09-06,3654,3654,3654,48
NCT of Delhi,Delhi,Narela,Sugar,Chini,FAQ,2019-10-06,3583,3704,3704,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-01-04,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-01-19,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-01-22,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-01-27,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-01-29,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-02-04,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-02-08,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-02-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-03,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-04,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-16,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-25,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-03-30,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-02,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-08,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-19,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-22,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-23,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-24,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-04-25,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-05-11,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-05-14,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-05-16,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-05-19,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-05-26,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-02,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-08,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-10,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-20,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-21,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-22,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-06-29,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-03,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-04,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-11,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-15,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-21,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-23,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-07-26,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-08,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-13,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-18,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-19,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-23,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-08-26,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-01,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-04,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-10,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-11,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-14,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-16,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-19,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-24,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-09-29,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-04,4000,0,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-14,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-15,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-17,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-20,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-21,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-10-25,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-11-16,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-11-17,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-12-06,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-12-07,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-12-12,4000,4000,4000,48
Odisha,Sundergarh,Bonai,Sugar,Other,FAQ,2019-12-21,4000,4000,4000,48
Rajasthan,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,2019-02-11,3678,3810,3765,48
Rajasthan,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,2019-03-13,3675,3836,3755,48
Rajasthan,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,2019-03-27,3677,3800,3722,48
Rajasthan,Chittorgarh,Kapasan,Sugar,Shakkar,FAQ,2019-03-29,3698,3832,3755,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-01-01,3600,3700,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-01-10,3600,3800,3700,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-01-31,3350,3650,3500,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-02-25,3300,3500,3400,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-02-26,3250,3450,3350,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-03-11,2800,3200,3000,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-05-15,3400,3600,3500,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-05-20,3400,3600,3500,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-06-11,3400,3600,3500,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-06-17,3300,3600,3450,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-06-26,3300,3600,3450,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-06-27,3300,3600,3450,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-06-28,3300,3600,3450,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-07-08,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-07-09,3450,3600,3525,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-08-07,3600,3800,3700,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-08-19,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-08-21,3600,3700,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-08-26,3600,3700,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-08-27,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-09-17,3600,3750,3675,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-09-18,3600,3750,3675,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-09-24,3600,3700,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-09-27,3600,3800,3700,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-10-04,3550,3700,3625,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-10-07,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-10-09,3400,3700,3550,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-10-23,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-10-30,3500,3800,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-11-20,3600,3750,3675,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-11-22,3600,3800,3700,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-02,3550,3750,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-03,3600,3750,3675,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-04,3600,3800,3700,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-05,3550,3800,3675,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-06,3500,3700,3600,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-11,3600,3700,3650,48
Rajasthan,Jaipur,Jaipur (Grain),Sugar,Other,FAQ,2019-12-17,3500,3700,3600,48
