State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-05-31,150,200,170.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-06-22,150,200,170.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-06-27,160,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-07-03,150,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-07-10,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-08-05,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-08-09,160,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-08-19,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-04,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-05,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-06,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-20,160,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-22,160,200,170.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-25,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-09-28,160,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-10-05,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-10-07,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-10-11,170,200,180.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-10-31,180,200,190.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-11-06,200,250,225.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-11-15,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-11-16,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-11-29,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-12-06,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-12-16,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-12-19,200,300,250.0,368
Tripura,Dhalai,Masli,Cock,Boiler/Firm(White),FAQ,2021-12-23,200,300,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-01,200,240,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-04,200,250,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-10,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-11,200,250,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-12,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-01-27,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-07,220,260,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-11,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-18,230,280,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-19,230,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-21,250,270,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-02-23,250,270,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-01,230,270,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-02,230,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-06,220,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-08,220,260,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-12,220,260,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-03-14,240,280,270.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-03,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-04,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-06,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-07,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-11,230,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-12,230,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-13,220,260,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-17,250,270,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-04-20,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-02,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-03,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-14,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-16,210,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-18,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-21,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-27,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-05-30,230,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-03,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-04,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-05,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-07,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-11,200,230,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-16,200,240,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-21,230,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-06-23,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-07-03,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-07-07,230,270,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-07-11,230,270,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-07-13,240,280,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-07-22,220,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-08-18,200,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-08-26,220,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-08-28,240,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-09-04,200,230,220.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-09-08,220,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-09-17,210,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-09-22,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-09-28,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-10-06,220,250,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-10-07,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-10-08,220,240,230.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-10-16,240,270,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-02,240,270,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-05,250,280,270.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-08,250,290,280.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-09,230,250,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-15,240,270,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-11-29,230,260,240.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-02,240,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-03,240,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-10,230,260,250.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-13,240,270,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-16,240,280,270.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-17,240,280,270.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-26,240,280,270.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-27,240,280,260.0,368
Tripura,Sepahijala,Boxonagar,Cock,Boiler/Firm(White),FAQ,2021-12-30,240,280,260.0,368
Tripura,Sepahijala,Melaghar,Cock,Local,FAQ,2021-01-19,300,400,350.0,368
Tripura,Sepahijala,Melaghar,Cock,Local,FAQ,2021-05-25,400,500,450.0,368
Tripura,Sepahijala,Melaghar,Cock,Local,FAQ,2021-10-19,400,500,450.0,368
