State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Chattisgarh,Bilaspur,Pendraroad,Tobacco,Other,FAQ,2007-06-20,3322,3322,3322,141
Chattisgarh,Jashpur,Jaspur,Tobacco,Other,FAQ,2007-01-11,1400,1600,1500,141
Chattisgarh,Jashpur,Jaspur,Tobacco,Other,FAQ,2007-04-24,1300,1500,1400,141
Chattisgarh,Jashpur,Jaspur,Tobacco,Other,FAQ,2007-08-16,2000,4000,3000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-03-20,2000,2000,2000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-04-05,2000,2000,2000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-04-16,2000,2000,2000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-05-03,2000,2000,2000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-05-25,2000,2000,2000,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-08-07,1500,1500,1500,141
Chattisgarh,Jashpur,Kunkuri,Tobacco,Other,FAQ,2007-10-15,2000,2000,2000,141
Chattisgarh,Jashpur,Pathalgaon,Tobacco,Other,FAQ,2007-07-31,1500,1500,1500,141
Chattisgarh,Jashpur,Pathalgaon,Tobacco,Other,FAQ,2007-09-21,1500,1500,1500,141
Chattisgarh,Koria,Manendragarh,Tobacco,Other,FAQ,2007-01-22,1000,1000,1000,141
Chattisgarh,Koria,Manendragarh,Tobacco,Other,FAQ,2007-01-27,1700,1700,1700,141
Chattisgarh,Koria,Manendragarh,Tobacco,Other,FAQ,2007-12-19,2190,2190,2190,141
Chattisgarh,Surguja,Ambikapur,Tobacco,Other,FAQ,2007-11-19,1850,1876,1860,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-10,1250,1300,1250,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-17,1250,1300,1250,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-04-26,1500,1650,1500,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-06,1800,2200,2000,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-12,1800,2200,2000,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-17,1800,2200,2000,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-05-31,1750,3000,1950,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-04,1800,2200,1950,141
Gujarat,Kheda,Matar,Tobacco,Other,FAQ,2007-06-08,1800,2150,1950,141
