State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-01-31,6000,7000,6500,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-02-01,6000,8000,7000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-02-02,7000,9000,8000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-03-03,7000,9000,8000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-03-07,7000,9000,8000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-03-29,7500,8500,8000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-05-20,9000,11000,10000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-05-23,8000,12000,10000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-05-29,8000,12000,10000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-08-09,8500,12000,10000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-08-30,9550,12150,11050,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-09-03,9600,12000,11100,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-09-04,9600,12050,11050,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-09-07,9500,11900,10700,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-09-25,6700,8500,7500,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-02,7400,8500,8000,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-03,7550,8650,8050,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-06,7550,8500,8100,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-11,7200,8000,7500,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-16,7000,7500,7250,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-22,7100,7500,7300,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-10-25,7250,7800,7500,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-11-02,7000,7200,7100,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-11-12,7200,7400,7300,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-11-14,7100,7300,7200,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-11-17,6900,7000,6950,18
Andhra Pradesh,Cuddapah,Pulivendala,Orange,Medium,FAQ,2007-11-21,6950,7150,7100,18
Assam,Cachar,Cachar,Orange,Orange,Medium,2007-11-28,1500,1950,1600,18
Assam,Kamrup,P.O. Uparhali Guwahati,Orange,Other,Medium,2007-10-17,2000,2300,2100,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-01-12,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-01-15,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-02-12,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-02-27,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-03-02,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-03-09,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-03-28,5000,6000,5500,18
Goa,North Goa,Mapusa,Orange,Orange,Medium,2007-04-19,5000,6000,5500,18
Gujarat,Bharuch,Bharuch,Orange,Other,Large,2007-02-16,1500,2500,2000,18
Gujarat,Bharuch,Bharuch,Orange,Other,Large,2007-03-10,2000,2500,2250,18
Gujarat,Bharuch,Bharuch,Orange,Other,Large,2007-03-14,1750,2500,2175,18
