State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-08-31,7725,8725,8225,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-09-08,4500,6000,5200,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-10-03,8050,9050,8550,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-11-03,8825,9825,9325,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-11-10,8925,9925,9425,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-11-14,9175,9750,9600,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-12-01,8150,9150,8650,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-12-05,7850,8850,8350,111
Tamil Nadu,Nagercoil (Kannyiakumari),Vadaseri,Rubber,RSS-4,FAQ,2007-12-31,8475,9475,8975,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-01-01,11500,11500,11500,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-01-06,11400,11400,11400,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-01-11,12400,12400,12400,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-01-26,12500,12500,12500,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-03-01,11600,11600,11600,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-03-13,11600,11600,11600,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-03-22,10600,10600,10600,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-04-21,11500,11500,11500,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-05-02,11500,11500,11500,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-05-24,10700,10700,10700,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-10-30,12400,12400,12400,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-02,12400,0,12400,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-06,12500,12500,12500,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-10,11400,11400,11400,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-17,12000,12000,12000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-19,11000,11000,11000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-23,13000,13000,13000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-27,11000,11000,11000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-11-28,11000,11000,11000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-12-01,11000,11000,11000,111
Kerala,Idukki,Kattappana,Rubber,Other,FAQ,2018-12-07,11200,11200,11200,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-04,10750,10850,10850,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-05,10750,10850,10850,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-06,10700,10800,10800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-09,10600,10700,10700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-10,10600,10700,10700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-11,10600,10700,10700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-16,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-18,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-27,10100,10200,10200,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-30,9900,10000,10000,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-01-31,9800,9900,9900,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-02-19,10100,10200,10200,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-02-20,10100,10200,10200,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-02-28,10150,10250,10250,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-03-05,10000,10100,10100,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-03-06,10000,10100,10100,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-03-14,10000,10100,10100,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-03-15,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-03-28,9800,9900,9900,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-04-06,9800,9900,9900,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-04-07,9800,9900,9900,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-04-18,9500,9600,9600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-04-25,9500,9600,9600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-03,9500,9600,9600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-14,9800,9900,9900,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-21,10400,10500,10500,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-25,10700,10800,10800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-30,10400,10500,10500,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-05-31,10400,10500,10500,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-07,10300,10400,10400,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-11,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-19,10300,10400,10400,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-20,10300,10400,10400,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-26,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-06-27,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-07-09,10300,10400,10400,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-07-19,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-07-23,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-07-24,10600,10700,10700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-08-01,10700,10800,10800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-08-02,10700,10800,10800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-08-04,10700,10800,10800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-10-04,10600,10700,10700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-10-08,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-10-11,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-10-22,10500,10600,10600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-07,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-09,10200,10300,10300,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-15,10000,10100,10100,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-21,9600,9700,9700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-29,9500,9600,9600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-11-30,9600,9700,9700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-12-06,9500,9600,9600,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-12-11,9600,9700,9700,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-12-13,9700,9800,9800,111
Kerala,Idukki,Thodupuzha,Rubber,Other,FAQ,2018-12-17,10000,10100,10100,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-01-01,12850,12950,12950,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-01-23,12200,12300,12300,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-01-25,12100,12200,12200,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-02-08,12000,12100,12100,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-02-09,12100,12200,12200,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-02-16,12100,12200,12200,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-02-17,12100,12200,12200,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-03-05,12000,12100,12100,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-03-06,12000,12100,12100,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-03-12,12300,12400,12400,111
Kerala,Idukki,Thodupuzha,Rubber,RSS-4,FAQ,2018-03-23,11900,12100,12100,111
