State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Nagaland,Kiphire,Kipheri,Chow Chow,Chow Chow,FAQ,2018-01-12,1400,1600,1500,167
Nagaland,Kiphire,Kipheri,Chow Chow,Chow Chow,FAQ,2018-01-19,1600,1800,1700,167
Nagaland,Kiphire,Kipheri,Chow Chow,Chow Chow,FAQ,2018-04-06,1700,1900,1800,167
Nagaland,Kiphire,Kipheri,Chow Chow,Chow Chow,FAQ,2018-05-18,1500,1700,1600,167
Nagaland,Kiphire,Kipheri,Chow Chow,Chow Chow,FAQ,2018-06-15,1700,1900,1800,167
Nagaland,Kohima,Jalukie,Chow Chow,Chow Chow,FAQ,2018-04-27,3400,3700,3500,167
Nagaland,Kohima,Jalukie,Chow Chow,Chow Chow,FAQ,2018-05-11,1100,1300,1200,167
Nagaland,Longleng,Longleng,Chow Chow,Chow Chow,FAQ,2018-07-20,1400,1800,1500,167
Nagaland,Longleng,Longleng,Chow Chow,Chow Chow,FAQ,2018-09-21,1500,1900,1600,167
Nagaland,Longleng,Longleng,Chow Chow,Chow Chow,FAQ,2018-11-25,1600,1900,1800,167
Nagaland,Longleng,Longleng,Chow Chow,Chow Chow,FAQ,2018-11-30,1800,2100,2000,167
Nagaland,Mokokchung,Mangkolemba,Chow Chow,Chow Chow,FAQ,2018-01-15,1200,1400,1300,167
Nagaland,Mokokchung,Mangkolemba,Chow Chow,Chow Chow,FAQ,2018-01-29,3000,3200,3100,167
Nagaland,Mokokchung,Mokokchung Town,Chow Chow,Other,FAQ,2018-10-20,2000,2400,2200,167
Nagaland,Mokokchung,Mokokchung Town,Chow Chow,Other,FAQ,2018-11-10,2000,2400,2200,167
Nagaland,Mokokchung,Mokokchung Town,Chow Chow,Other,FAQ,2018-11-17,2000,2400,2200,167
Nagaland,Peren,Tenning,Chow Chow,Other,FAQ,2018-09-21,1800,2200,1900,167
Nagaland,Peren,Tenning,Chow Chow,Other,FAQ,2018-11-09,1900,2300,2100,167
Nagaland,Peren,Tenning,Chow Chow,Other,FAQ,2018-12-14,2000,2300,2200,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-01-19,2100,2300,2200,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-03-16,1700,1900,1800,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-03-23,1500,1700,1600,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-03-24,1600,1800,1600,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-04-13,1800,2000,1900,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-05-04,1800,2000,1900,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-05-11,1900,2100,2000,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-06-29,1900,2100,2000,167
Nagaland,Phek,Pfatsero,Chow Chow,Chow Chow,FAQ,2018-08-17,1500,1700,1600,167
Nagaland,Phek,Phek,Chow Chow,Chow Chow,FAQ,2018-06-25,1300,1500,1400,167
Nagaland,Tsemenyu,Tsemenyu,Chow Chow,Chow Chow,FAQ,2018-08-15,3500,4000,3800,167
Nagaland,Tsemenyu,Tsemenyu,Chow Chow,Chow Chow,FAQ,2018-10-24,2500,3000,2800,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-01-05,800,1000,900,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-04-17,550,650,600,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-05-04,550,650,600,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-05-24,500,600,550,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-05-31,500,600,550,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-07-04,600,700,650,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-07-27,1200,1300,1250,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-08-14,1400,1550,1500,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-08-16,1300,1500,1400,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-08-24,1200,1300,1250,167
Punjab,Fazilka,Jalalabad,Chow Chow,Other,FAQ,2018-09-25,1200,1300,1250,167
