State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-01-09,1000,1800,1500,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-01-16,1400,1750,1600,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-01-17,1000,1500,1300,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-01-24,500,1500,1200,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-02-09,1500,2000,1750,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-02-13,1500,2000,1800,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-02-14,1200,1500,1400,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-10-11,5000,6000,5600,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-10-28,5000,6500,5800,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-11-03,4000,6000,5100,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-11-06,3500,4000,3800,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-11-10,3500,6000,5000,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-11-16,3000,4000,3600,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-12-01,1500,2000,1850,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-12-16,1500,2000,1800,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-12-19,1200,3500,2500,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-12-29,1500,2000,1800,307
Gujarat,Ahmedabad,Ahmedabad,Rat Tail Radish (Mogari),Other,FAQ,2017-12-30,1000,2000,1550,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-01,2000,3500,2750,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-07,1750,3500,2625,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-08,1750,3500,2625,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-10,1750,3000,2375,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-13,1250,2500,1875,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-18,1250,2500,1875,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-23,1250,2500,1875,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-24,1250,2500,1875,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-03-25,1250,2500,1875,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-10-31,5500,6500,6000,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-11-12,4000,5000,4500,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-11-18,4000,4500,4250,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-11-25,4000,4750,4375,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-12-08,2500,3000,2750,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-12-09,2000,2750,2375,307
Gujarat,Surat,Surat,Rat Tail Radish (Mogari),Other,FAQ,2017-12-21,5250,5500,5375,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-01-05,500,500,500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-01-25,400,500,450,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-01-28,500,500,500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-02-02,500,550,500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-02-03,500,600,550,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-02-15,450,550,500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-03-14,500,525,500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-12-14,1500,1600,1550,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-12-16,2000,2100,2000,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2017-12-21,2000,2000,2000,307
Punjab,Muktsar,Giddarbaha,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-12-20,1200,1200,1200,307
Punjab,Muktsar,Giddarbaha,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-12-22,1500,1500,1500,307
Punjab,Muktsar,Giddarbaha,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-12-23,1200,1200,1200,307
Punjab,Muktsar,Giddarbaha,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-12-30,500,600,600,307
Punjab,Tarntaran,Harike,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-01-06,600,700,700,307
Punjab,Tarntaran,Harike,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-01-13,500,600,500,307
Punjab,Tarntaran,Harike,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-01-15,500,600,500,307
Punjab,Tarntaran,Harike,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-01-18,700,800,700,307
Punjab,Tarntaran,Harike,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2017-01-22,700,700,700,307
Punjab,Fazilka,Abohar,Rat Tail Radish (Mogari),Rat Tail Radish (Mogari),FAQ,2020-12-26,1713,2015,1980,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-02-18,1500,1500,1500,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-02-19,1400,1450,1450,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-02-22,1300,1300,1300,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-02-25,1300,1400,1400,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-03-09,900,950,900,307
Punjab,Fazilka,Fazilka (Ladhuka),Rat Tail Radish (Mogari),Other,FAQ,2020-03-17,1000,1000,1000,307
Punjab,Ferozpur,Zira,Rat Tail Radish (Mogari),Other,FAQ,2020-02-18,1800,2000,1900,307
Punjab,Ferozpur,Zira,Rat Tail Radish (Mogari),Other,FAQ,2020-02-22,1800,2200,2000,307
Punjab,Ferozpur,Zira,Rat Tail Radish (Mogari),Other,FAQ,2020-02-26,1800,2200,2000,307
Punjab,Ferozpur,Zira,Rat Tail Radish (Mogari),Other,FAQ,2020-03-02,1800,2400,2000,307
