State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-01-10,2.5,5.5,3.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-01-15,3,6,4.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-01-19,2.5,5,4.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-01-23,4,6,4.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-01-28,3.5,6,5.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-16,2.5,5,4.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-17,2,4.5,3.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-20,3,5,4.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-22,3.75,6,4.9,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-25,2,4,3.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-02-27,1.75,4,2.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-03-09,2,3.5,2.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-03-10,1.5,3.5,2.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-03-20,1.5,3.25,2.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-03-31,1.5,3.5,2.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-04-01,1.5,3,1.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-04-02,1,2,1.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-04-14,1.1,3.1,2.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-04-24,1.5,3,2.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-04-30,1.75,3.5,2.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-05-10,1.75,4.5,3.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-05-13,2,6.75,4.0,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-05-14,2,6,3.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-05-15,2,5,3.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-03,0.5,2,1.25,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-05,1,2.25,1.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-09,0.5,2.5,1.4,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-16,1.1,2,1.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-22,1,2.5,1.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-23,0.75,3,1.5,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-24,1,3.25,1.75,375
NCT of Delhi,Delhi,"Flower Market, Canaught Place(Pr. Yard,Mehrauli)",Carnation,Cornation,FAQ,2007-06-27,1.5,3.5,2.0,375
