State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-14,1905,2325,2165.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-17,1880,2295,2165.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-08-23,1850,2270,2180.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-09-01,1635,2175,2095.0,113
Gujarat,Rajkot,Gondal,Big Gram,Other,FAQ,2007-09-18,1605,2275,2135.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-01-18,1780,2171,2100.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-01-20,1911,2300,2100.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-01-31,2226,2566,2500.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-15,2025,2232,2175.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-20,1574,1940,1770.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-22,1650,1955,1856.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-23,1750,1986,1920.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-27,1640,1907,1845.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-02-28,1570,1995,1860.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-03-01,1622,1965,1835.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-03-02,1400,1800,1730.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-03-06,1500,1825,1745.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-03-12,1721,2001,1930.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-17,2100,2301,2250.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-19,2135,2239,2200.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-20,2140,2264,2220.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-21,2000,2264,2215.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-26,1972,2174,2125.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-04-28,1990,2185,2120.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-03,2089,2240,2180.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-05,2071,2217,2160.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-11,1900,2136,2075.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-15,1930,2187,2120.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-19,2000,2219,2121.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-05-23,1781,2048,1980.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-06-05,1800,2114,1980.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-06-06,1800,2072,1965.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-06-21,1901,2140,2055.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-06-30,2030,2300,2190.0,113
Madhya Pradesh,Ashoknagar,Ashoknagar,Big Gram,Other,FAQ,2007-07-13,2081,2300,2240.0,113
