State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-04-30,50,70,60.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-16,30,60,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-19,20,40,30.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-02,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-03,40,50,45.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-09,24,36,32.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-11,20,40,30.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-19,30,50,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-06-29,50,70,60.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-09,30,50,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-21,50,60,55.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-27,15,25,20.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-28,30,50,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-30,25,35,30.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-07-31,20,30,25.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-18,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-20,25,50,35.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-21,20,35,30.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-22,25,50,35.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-25,25,50,35.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-28,25,50,35.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-08-29,20,35,30.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-09-15,30,50,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-09-17,30,60,50.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-09-19,40,70,60.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-09-22,50,80,70.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-10-05,30,50,40.0,382
NCT of Delhi,Delhi,"Flower Market, Fatehpuri(Principal Yard, Mehrauli)",Daila(Chandni),Dalia(Chandani),FAQ,2007-10-08,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market,Gazipur",Daila(Chandni),Dalia(Chandani),FAQ,2007-04-21,80,120,100.0,382
NCT of Delhi,Delhi,"Flower Market,Gazipur",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-04,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market,Gazipur",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-15,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market,Gazipur",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-16,40,60,50.0,382
NCT of Delhi,Delhi,"Flower Market,Gazipur",Daila(Chandni),Dalia(Chandani),FAQ,2007-05-17,50,60,55.0,382
