State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-01-06,40800,41500,41100,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-01-19,43500,44200,43800,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-01-22,43500,44200,43900,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-02-06,43500,44400,44000,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-02-10,43200,44000,43600,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-02-15,43500,44200,43900,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-03-09,38300,39000,38600,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-04-05,38800,39500,39200,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-04-11,38800,39500,39100,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-04-16,38700,39300,39000,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-05-05,37100,37800,37500,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-05-09,37100,38000,37500,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-05-12,37100,37800,37400,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-05-15,36500,37200,36850,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-05-18,35100,35900,35500,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-06-06,37100,37850,37450,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-06-07,37150,37900,37500,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-06-11,37100,37800,37450,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-06-13,35500,36250,35900,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-09-21,38500,39400,38900,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-09-25,38500,39100,38850,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-10-02,38500,39250,38850,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-10-12,38500,39100,38750,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-10-25,38450,39000,38700,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-11-10,38500,39100,38750,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-11-23,38500,39200,38850,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-12-01,38500,39200,38850,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-12-03,38550,39200,38900,110
Kerala,Ernakulam,Moovattupuzha,Pepper ungarbled,Other,FAQ,2018-12-31,38500,39200,38850,110
Kerala,Idukki,Vandiperiyar,Pepper ungarbled,Other,FAQ,2018-01-08,51000,51000,51000,110
Kerala,Kollam,Punalur,Pepper ungarbled,Other,FAQ,2018-01-04,43500,44000,43800,110
Kerala,Kollam,Punalur,Pepper ungarbled,Other,FAQ,2018-01-06,43500,44000,43800,110
Kerala,Kollam,Punalur,Pepper ungarbled,Other,FAQ,2018-01-17,38500,39000,38800,110
