State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-07-04,593,593,593,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-08-22,720,720,720,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-09-27,586,600,600,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-10-28,755,846,846,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-11-10,822,826,826,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-11-16,765,765,765,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-11-21,801,801,801,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Hybrid,FAQ,2006-11-29,715,715,715,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Other,FAQ,2006-07-03,750,750,750,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Other,FAQ,2006-07-24,901,901,901,5
Andhra Pradesh,Cuddapah,Cuddapah,Jowar(Sorghum),Other,FAQ,2006-11-29,1302,1302,1302,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-01-10,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-01-25,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-01-29,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-01-30,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-01-31,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-03,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-07,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-13,600,650,620,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-14,600,650,620,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-22,600,700,650,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-02-24,600,650,625,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-03-01,600,650,630,5
Andhra Pradesh,Guntur,Narasaraopet,Jowar(Sorghum),Jowar ( White),FAQ,2006-03-06,600,650,630,5
