State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-02-13,1250,1300,1280,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-02-28,1300,1370,1340,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-05-15,1400,1450,1410,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,FAQ,2007-06-08,1300,1350,1325,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,FAQ,2007-06-12,1250,1300,1275,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,FAQ,2007-06-19,1239,1301,1300,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Small,2007-08-17,700,1000,900,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-09-26,1000,1050,1030,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,FAQ,2007-10-03,1000,1050,1040,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-10-15,1000,1017,1013,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,FAQ,2007-11-20,900,927,915,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-12-15,1010,1075,1040,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-12-17,1020,1100,1082,122
Karnataka,Chitradurga,Hosadurga,Same/Savi,Same/Savi Local,Medium,2007-12-19,1025,1075,1050,122
Karnataka,Dharwad,Dharwar,Same/Savi,Same/Savi Local,FAQ,2007-02-27,1025,1025,1025,122
Karnataka,Dharwad,Dharwar,Same/Savi,Same/Savi Local,FAQ,2007-07-16,1300,1300,1300,122
Karnataka,Dharwad,Dharwar,Same/Savi,Same/Savi Local,FAQ,2007-07-19,1300,1305,1303,122
Karnataka,Dharwad,Dharwar,Same/Savi,Same/Savi Local,FAQ,2007-08-27,1100,1100,1100,122
Karnataka,Dharwad,Hubli (Amaragol),Same/Savi,Same/Savi Local,FAQ,2007-09-29,0,850,850,122
Karnataka,Dharwad,Hubli (Amaragol),Same/Savi,Same/Savi Local,FAQ,2007-10-03,450,875,861,122
Karnataka,Dharwad,Hubli (Amaragol),Same/Savi,Same/Savi Local,FAQ,2007-10-25,0,891,891,122
