State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Gujarat,Gir Somnath,Una,Cherry,Other,Medium,2007-02-26,1000,1500,1250,328
Gujarat,Gir Somnath,Una,Cherry,Other,Medium,2007-03-07,1200,1300,1250,328
Haryana,Fatehabad,Bhuna,Cherry,Other,Medium,2007-06-03,700,800,800,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-08,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-13,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-14,6000,6000,6000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-17,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-19,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-20,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-05-30,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-06-12,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-06-19,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-06-20,5000,5000,5000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-06-26,5000,6000,6000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-06-30,5000,6000,6000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-07-04,6000,6000,6000,328
Haryana,Fatehabad,Fatehabad,Cherry,Other,Medium,2007-07-20,6000,6000,6000,328
Himachal Pradesh,Kullu,Bhuntar,Cherry,Other,Medium,2007-05-21,2000,2500,2200,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-05-14,2000,3500,2750,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-05-17,1500,3000,2250,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-05-18,5000,7000,6000,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-05-23,3000,5000,4000,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-06-09,4000,7000,5500,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-06-18,3000,5000,4000,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-06-20,3000,5000,4000,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-06-30,3000,6000,4500,328
Jammu and Kashmir,Jammu,Narwal Jammu (F&V),Cherry,Other,Medium,2007-07-06,3000,4000,3500,328
Jammu and Kashmir,Jammu,Samba,Cherry,Other,Medium,2007-06-06,2800,3000,2900,328
Jammu and Kashmir,Jammu,Samba,Cherry,Other,Medium,2007-06-11,2500,3000,2750,328
Jammu and Kashmir,Jammu,Samba,Cherry,Other,Medium,2007-06-23,3000,3200,3100,328
Jammu and Kashmir,Pulwama,Pulwama (F&V),Cherry,Other,Medium,2007-06-12,2500,3000,2750,328
Maharashtra,Kolhapur,Kolhapur,Cherry,Other,FAQ,2007-06-25,5000,8500,6750,328
Maharashtra,Kolhapur,Kolhapur,Cherry,Other,FAQ,2007-06-27,7000,7000,7000,328
Maharashtra,Kolhapur,Kolhapur,Cherry,Other,FAQ,2007-07-02,3500,4500,4000,328
Meghalaya,West Jaintia Hills,Jowai,Cherry,Other,Medium,2007-09-06,3800,4000,3900,328
Meghalaya,West Jaintia Hills,Jowai,Cherry,Other,Medium,2007-10-01,3800,4000,3900,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-05-15,2500,10000,6500,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Large,2007-05-29,3000,8000,5500,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Large,2007-06-01,2500,9000,5500,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-06-05,1500,6000,3750,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-06-08,1500,6000,3850,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Large,2007-06-14,2500,9000,5700,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Large,2007-06-18,3000,9000,6000,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-06-19,3000,7000,5000,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-06-22,2500,8000,5500,328
NCT of Delhi,Delhi,Azadpur,Cherry,Other,Small,2007-06-26,3000,6000,4500,328
Punjab,Ferozpur,Firozepur City,Cherry,Other,Small,2007-04-13,2400,2600,2500,328
Rajasthan,Ganganagar,Sriganganagar (F&V),Cherry,Other,Small,2007-05-10,1700,1900,1800,328
Rajasthan,Ganganagar,Sriganganagar (F&V),Cherry,Other,Small,2007-05-16,1300,1500,1400,328
Rajasthan,Ganganagar,Sriganganagar (F&V),Cherry,Other,Small,2007-05-19,400,600,500,328
Jammu and Kashmir,Udhampur,Udhampur,Cherry,Cherry,Medium,2021-06-08,9000,16000,13000,328
Jammu and Kashmir,Udhampur,Udhampur,Cherry,Cherry,Medium,2021-06-15,11000,15000,13000,328
Jammu and Kashmir,Udhampur,Udhampur,Cherry,Cherry,Large,2021-06-23,16000,20000,18000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-10,10000,15000,12500,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-17,10000,15000,12500,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-19,10000,15000,12500,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-20,10000,15000,12500,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-26,10500,15500,13000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-05-29,10500,15500,13000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-06-03,10000,15000,12500,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-06-26,15000,25000,20000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-06-28,16000,26000,21000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-06-29,15000,25000,20000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-06-30,15000,25000,20000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-07-03,15000,25000,20000,328
Maharashtra,Mumbai,Mumbai- Fruit Market,Cherry,Other,FAQ,2021-07-05,20000,250000,22500,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-05-07,4000,6000,5000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-05-18,5000,15000,10000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-05-26,5000,17000,11000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-06-11,6000,15000,11000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-06-12,5000,15000,9000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-06-23,5000,12000,8000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-06-24,5000,15000,9000,328
Punjab,Jalandhar,Jalandhar City(Jalandhar),Cherry,Cherry,Medium,2021-06-30,5000,12000,7000,328
Haryana,Kurukshetra,Shahabad,Cherry,Other,Medium,2020-02-12,3500,4750,4000,328
Himachal Pradesh,Bilaspur,Bilaspur,Cherry,Cherry,Medium,2020-06-13,7000,10000,8000,328
Himachal Pradesh,Kangra,Kangra,Cherry,Other,Medium,2020-06-06,12000,13000,12500,328
Himachal Pradesh,Kangra,Kangra,Cherry,Other,Medium,2020-06-09,13000,15000,14000,328
Himachal Pradesh,Kangra,Kangra,Cherry,Other,Medium,2020-06-22,15000,16000,15500,328
Himachal Pradesh,Kangra,Kangra(Jassour),Cherry,Cherry,Medium,2020-06-20,8000,10000,9000,328
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Cherry,Other,Medium,2020-05-27,3000,6000,4500,328
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Cherry,Other,Medium,2020-05-28,3500,6500,5000,328
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Cherry,Other,Medium,2020-06-02,2000,6500,4500,328
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Cherry,Other,Medium,2020-06-08,4000,8500,6500,328
Himachal Pradesh,Kullu,Kullu(Chauri Bihal),Cherry,Other,Medium,2020-06-15,3000,7000,5000,328
Himachal Pradesh,Shimla,Rohroo,Cherry,Cherry,Large,2020-06-21,3000,8000,5500,328
