State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2007-10-06,34900,35100,35000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2007-11-17,37400,37600,37500,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2007-12-19,44900,45100,45000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-01-09,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-01-20,85000,95000,90000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-02-03,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-02-13,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-02-17,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-03-13,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-04-07,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-05-01,85000,93000,89000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-06-09,60000,64000,62000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-06-16,70000,78000,74000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-06-30,60000,62000,61000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-08-25,70000,80000,75000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-09-18,70000,80000,75000,107
Kerala,Ernakulam,Moovattupuzha,Mace,Other,FAQ,2014-11-26,72500,75000,74000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-01-31,125000,127500,127000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-02-28,100000,125000,124800,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-03-25,100000,125000,125000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-04-04,100000,120000,120000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-04-22,100000,120000,118000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-04-29,100000,120000,118000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-05-06,100000,120000,118000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-05-16,100000,125000,121000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-05-23,100000,125000,122000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-06-06,80000,85000,82000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-06-13,80000,85000,82000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-06-20,85000,90000,87200,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-07-08,90000,95000,93000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-07-22,94000,97000,96000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-08-01,100000,102500,101500,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-08-22,90000,95000,93000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-10-17,95000,97000,96000,107
Kerala,Idukki,Adimali,Mace,Other,FAQ,2014-10-24,95000,98000,97000,107
Kerala,Idukki,Kattappana,Mace,Other,FAQ,2014-11-08,6000,6300,6200,107
Kerala,Idukki,Nedumkandam,Mace,Other,FAQ,2014-07-20,80000,100000,90000,107
Kerala,Idukki,Nedumkandam,Mace,Other,FAQ,2014-07-27,80000,100000,90000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-01-25,79500,80500,80000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-02-05,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-02-06,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-02-12,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-02-17,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-02-19,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-03,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-05,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-15,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-18,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-21,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-25,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-27,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-29,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-03-31,84500,85500,85000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-04-07,89500,90500,90000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-04-17,89500,90500,90000,107
Kerala,Idukki,Thodupuzha,Mace,Other,FAQ,2014-04-26,89500,90500,90000,107
