State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
Madhya Pradesh,Raisen,Gairatganj,Other Pulses,Other,FAQ,2014-11-20,2199,2300,2230.0,97
Madhya Pradesh,Raisen,Obedullaganj,Other Pulses,Other,FAQ,2014-01-02,3500,3500,3500.0,97
Madhya Pradesh,Raisen,Obedullaganj,Other Pulses,Other,FAQ,2014-01-09,3400,3500,3400.0,97
Madhya Pradesh,Raisen,Obedullaganj,Other Pulses,Other,FAQ,2014-01-13,1600,1600,1600.0,97
Madhya Pradesh,Raisen,Obedullaganj,Other Pulses,Other,FAQ,2014-01-28,2000,2000,2000.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-09-02,3900,3900,3900.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-09-10,4670,4670,4670.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-09-15,2500,2500,2500.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-09-24,4400,4400,4400.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-10-11,4000,4000,4000.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-10-13,3800,4655,4350.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-10-14,4000,4000,4000.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-10-27,3850,4260,4100.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-11-07,4000,4390,4250.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-11-10,3500,4375,4125.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-11-12,3400,3995,3510.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-11-20,4155,4155,4155.0,97
Madhya Pradesh,Raisen,Udaipura,Other Pulses,Other,FAQ,2014-11-21,3850,4170,4000.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-02-22,1341,1530,1451.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-03-07,1401,1819,1561.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-03-19,700,1921,1422.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-03-22,1510,1870,1630.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-03-26,1700,1700,1700.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-04-02,2650,2650,2650.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-04-03,1600,2600,1600.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-04-09,1601,3800,2361.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-04-19,2130,2980,2815.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-04-22,1200,2301,2000.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-05-08,1705,3100,2312.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-05-09,1701,3100,2319.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-05-13,1805,3201,2419.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-05-19,1501,4701,2100.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-06-11,1301,4400,1801.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-06-30,1310,2900,2350.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-07-04,1450,2690,2305.0,97
Madhya Pradesh,Ratlam,Ratlam,Other Pulses,Other,FAQ,2014-07-10,1720,3001,2450.0,97
